,timestamp,open,high,low,close,volume
0,2019-09-16,1.67,1.67,1.6236,1.6236,2693
1,2019-09-13,1.67,1.74,1.5806,1.66,8037
2,2019-09-12,1.7,1.74,1.64,1.74,3900
3,2019-09-11,1.67,1.75,1.61,1.73,9900
4,2019-09-10,1.74,1.79,1.58,1.73,19900
5,2019-09-09,1.8,1.8,1.68,1.78,2900
6,2019-09-06,1.76,1.8,1.76,1.78,3900
7,2019-09-05,1.77,1.77,1.77,1.77,400
8,2019-09-04,1.77,1.77,1.75,1.76,3000
9,2019-09-03,1.77,1.77,1.77,1.77,1200
10,2019-08-30,1.74,1.77,1.7,1.76,3500
11,2019-08-29,1.75,1.77,1.75,1.76,6500
12,2019-08-28,1.71,1.79,1.71,1.77,7900
13,2019-08-27,1.79,1.79,1.63,1.63,2800
14,2019-08-26,1.72,1.82,1.64,1.78,2800
15,2019-08-23,1.72,1.82,1.72,1.8,4000
16,2019-08-22,1.83,1.83,1.72,1.72,3100
17,2019-08-21,1.77,1.85,1.76,1.85,8100
18,2019-08-20,1.82,1.88,1.73,1.78,21900
19,2019-08-19,1.89,1.9,1.8,1.86,6100
20,2019-08-16,1.83,1.9,1.83,1.89,4000
21,2019-08-15,1.8198,1.88,1.72,1.75,10600
22,2019-08-14,1.93,1.95,1.42,1.84,51100
23,2019-08-13,1.93,1.95,1.865,1.95,9000
24,2019-08-12,1.87,1.95,1.87,1.93,6800
25,2019-08-09,1.84,1.9499,1.84,1.935,4500
26,2019-08-08,1.96,1.96,1.78,1.92,7600
27,2019-08-07,1.94,1.96,1.9,1.96,8200
28,2019-08-06,1.95,1.96,1.9,1.96,15200
29,2019-08-05,1.96,1.98,1.85,1.95,17400
30,2019-08-02,1.8,2.0,1.8,1.98,22400
31,2019-08-01,1.92,2.0,1.73,1.73,69200
32,2019-07-31,1.98,1.98,1.9001,1.9,20600
33,2019-07-30,1.99,2.0,1.98,1.99,9400
34,2019-07-29,1.92,2.0,1.9,1.96,31600
35,2019-07-26,1.95,1.96,1.86,1.9,13000
36,2019-07-25,2.01,2.03,1.88,1.95,34700
37,2019-07-24,1.98,2.0,1.88,2.0,18000
38,2019-07-23,2.02,2.02,1.89,1.95,2700
39,2019-07-22,1.93,2.0,1.86,2.0,28000
40,2019-07-19,1.9,1.9,1.85,1.9,42400
41,2019-07-18,1.97,1.98,1.85,1.9,19500
42,2019-07-17,1.86,1.95,1.86,1.95,11400
43,2019-07-16,2.0,2.0,1.88,1.95,14500
44,2019-07-15,1.82,2.0,1.82,1.99,22300
45,2019-07-12,1.75,1.85,1.63,1.8,19000
46,2019-07-11,1.7399,1.75,1.65,1.75,16200
47,2019-07-10,1.66,1.75,1.65,1.74,11700
48,2019-07-09,1.62,1.63,1.6,1.63,1500
49,2019-07-08,1.56,1.62,1.56,1.62,9300
50,2019-07-05,1.61,1.613,1.55,1.55,1700
51,2019-07-03,1.56,1.62,1.56,1.61,9400
52,2019-07-02,1.46,1.63,1.4,1.55,36800
53,2019-07-01,1.42,1.49,1.42,1.42,137400
54,2019-06-28,1.48,1.49,1.407,1.42,549300
55,2019-06-27,1.48,1.48,1.4,1.47,226700
56,2019-06-26,1.42,1.5,1.42,1.47,2155000
57,2019-06-25,1.39,1.42,1.39,1.39,10100
58,2019-06-24,1.37,1.39,1.37,1.38,1400
59,2019-06-21,1.23,1.4,1.23,1.31,3500
60,2019-06-20,1.39,1.4,1.322,1.39,10500
61,2019-06-19,1.39,1.4,1.32,1.32,25600
62,2019-06-18,1.39,1.4,1.39,1.4,3000
63,2019-06-17,1.39,1.39,1.33,1.33,1900
64,2019-06-14,1.39,1.39,1.36,1.39,500
65,2019-06-13,1.4,1.3999,1.32,1.4,500
66,2019-06-12,1.4,1.4,1.315,1.4,1500
67,2019-06-11,1.4,1.3999,1.4,1.4,100
68,2019-06-10,1.389,1.399,1.389,1.399,1600
69,2019-06-07,1.357,1.357,1.348,1.35,8300
70,2019-06-06,1.35,1.4,1.35,1.4,400
71,2019-06-05,1.4,1.4,1.4,1.4,400
72,2019-06-04,1.399,1.4,1.39,1.4,900
